location,locationID,taxon,taxonID,eventDate,habitat,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,datasetName,bibliographicCitation
Algeria,72,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GRIIS,"Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Austria,22,Asclepias syriaca,29009,1890,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Belarus,37,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Belgium,25,Asclepias syriaca,29009,1987,terrestrial,present,introduced; uncertain,casual,"",FirstRecords; GRIIS,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Bosnia and Herzegovina,35,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Bulgaria,32,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Canada,48,Asclepias syriaca,29009,,terrestrial,present,native,"","",GIATAR; WCVP,"Govaerts, R. WCVP: World Checklist of Vascular Plants. Royal Botanic Gardens, Kew (2024) https://sftp.kew.org/pub/data-repositories/WCVP/ (v. 13) Saffer, A. & Worm, T. Global Invasive and Alien Traits and Records (GIATAR) dataset. Zenodo https://doi.org/10.5281/ZENODO.15042321 (2025) (v. 3)"
Canada,48,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
Corsica,1201,Asclepias syriaca,29009,1877,terrestrial,"",introduced,"","",FirstRecords,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1)"
Croatia,113,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Czech Republic,66,Asclepias syriaca,29009,1786,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Denmark,70,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GRIIS,"Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
France,86,Asclepias syriaca,29009,1825,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Georgia,92,Asclepias syriaca,29009,,terrestrial,present,native,"","",WCVP,"Govaerts, R. WCVP: World Checklist of Vascular Plants. Royal Botanic Gardens, Kew (2024) https://sftp.kew.org/pub/data-repositories/WCVP/ (v. 13) "
Germany,67,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Hungary,115,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Italy,126,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Kyrgyzstan,135,Asclepias syriaca,29009,2007,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Lithuania,149,Asclepias syriaca,29009,1964,terrestrial,present,introduced,established,"",FirstRecords; GIATAR; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Saffer, A. & Worm, T. Global Invasive and Alien Traits and Records (GIATAR) dataset. Zenodo https://doi.org/10.5281/ZENODO.15042321 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Luxembourg,150,Asclepias syriaca,29009,1836,terrestrial,"",uncertain,casual,"",FirstRecords,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1)"
Moldova,156,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Montenegro,165,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Netherlands,184,Asclepias syriaca,29009,1899,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Poland,197,Asclepias syriaca,29009,1872,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Romania,207,Asclepias syriaca,29009,1939,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Russia,208,Asclepias syriaca,29009,1964,terrestrial,present,introduced; uncertain,casual,"",FirstRecords; GRIIS,"Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Russia,208,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
Serbia,226,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Slovakia,229,Asclepias syriaca,29009,1917,terrestrial,present,introduced,invasive,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Slovenia,230,Asclepias syriaca,29009,1860,terrestrial,"",introduced,established,"",FirstRecords; GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1)"
Spain,80,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
Sweden,231,Asclepias syriaca,29009,2001,terrestrial,present,introduced,established,"",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Switzerland,50,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
Ukraine,251,Asclepias syriaca,29009,1887,terrestrial,present,introduced,"","",FirstRecords; GloNAF; GRIIS,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3); Seebens, H. Alien Species First Records Database. Zenodo https://doi.org/10.5281/ZENODO.10039630 (2023) (v. 3.1); Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
United States of America,256,Asclepias syriaca,29009,,terrestrial,"",introduced,"","",GloNAF,"Davis, A. J. S. et al. Global Naturalized Alien Flora (GloNAF). Open access data to support research on understanding global plant invasions. Zenodo https://doi.org/10.5281/ZENODO.17105725 (2025) (v. 3)"
United States of America,256,Asclepias syriaca,29009,,terrestrial,present,native,"","",GIATAR; WCVP,"Govaerts, R. WCVP: World Checklist of Vascular Plants. Royal Botanic Gardens, Kew (2024) https://sftp.kew.org/pub/data-repositories/WCVP/ (v. 13) Saffer, A. & Worm, T. Global Invasive and Alien Traits and Records (GIATAR) dataset. Zenodo https://doi.org/10.5281/ZENODO.15042321 (2025) (v. 3)"
Uzbekistan,257,Asclepias syriaca,29009,,terrestrial,present,introduced,"","",GRIIS,"Shyama Pagad, Bisset, S. & McGeoch, M. A. Country Compendium of the Global Register of Introduced and Invasive Species. Dataset. Zenodo https://doi.org/10.5281/ZENODO.6348164 (2022)"
